RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
249,Billy Hamilton,KC/ATL,298,37,64,13,2,0,14,21,5,28,81,.215,.280,.272,.552,0.5
216,Brandon Belt,SF,493,71,117,30,3,16,56,4,3,78,118,.237,.343,.408,.750,0.0
230,Brandon Crawford,SF,468,57,108,22,2,11,55,3,2,50,108,.231,.307,.357,.664,0.0
185,Brandon Dixon,DET,364,40,90,20,3,15,51,5,1,21,128,.247,.293,.442,.735,0.0
240,Brandon Drury,TOR,391,40,87,20,1,14,40,0,0,23,105,.223,.266,.386,.652,0.0
91,Brandon Lowe,TB,279,40,77,17,2,16,49,5,0,22,104,.276,.339,.523,.862,3.0
181,Brett Gardner,NYY,454,79,113,25,7,25,66,10,2,50,98,.249,.326,.500,.826,3.8
133,Brian Anderson,MIA,459,57,120,33,1,20,66,5,1,44,114,.261,.342,.468,.811,3.8
227,Brian Dozier,WSH,398,49,93,19,0,19,45,3,4,60,102,.234,.339,.425,.764,0.4
101,Brian Goodwin,LAA,378,63,103,27,3,16,45,6,3,32,111,.272,.332,.487,.819,2.1
9,Bryan Reynolds,PIT,466,83,150,37,3,16,67,3,2,44,118,.322,.385,.517,.903,0.0
166,Bryce Harper,PHI,522,89,132,32,0,31,102,13,3,95,165,.253,.372,.492,.864,3.4
159,Buster Posey,SF,386,41,98,24,0,6,36,0,0,33,68,.254,.318,.363,.681,0.8
163,C.J. Cron,MIN,442,49,112,24,0,24,76,0,0,29,105,.253,.313,.471,.783,1.5
82,Carlos Correa,HOU,270,39,75,16,1,19,56,1,0,34,70,.278,.358,.556,.914,2.8
76,Carlos Santana,CLE,535,102,150,28,1,34,89,4,0,103,99,.280,.398,.527,.925,4.4
189,Carson Kelly,ARI,288,40,71,18,0,18,43,0,0,44,70,.247,.349,.497,.846,1.8
243,Cavan Biggio,TOR,308,55,68,14,1,13,38,11,0,64,107,.221,.356,.399,.755,2.2
64,Cesar Hernandez,PHI,552,69,157,28,3,11,64,9,2,42,89,.284,.339,.406,.745,2.6
215,Chad Pinder,OAK,316,42,75,19,0,12,44,0,1,17,82,.237,.284,.411,.696,0.0
14,Charlie Blackmon,COL,543,106,172,42,7,28,78,2,4,35,97,.317,.364,.575,.939,1.9
191,Cheslor Cuthbert,KC,293,23,72,14,0,8,35,1,0,17,63,.246,.292,.375,.667,-0.9
263,Chris Davis,BAL,285,23,49,8,0,10,34,0,0,34,129,.172,.265,.305,.570,-1.3
134,Chris Taylor,LAD,333,45,87,27,4,11,50,7,0,33,100,.261,.330,.465,.795,2.0
100,Christian Vazquez,BOS,451,59,123,25,1,21,65,3,2,25,94,.273,.309,.472,.781,1.8
164,Christian Walker,ARI,494,76,125,23,1,25,63,8,1,58,144,.253,.337,.455,.792,2.0
5,Christian Yelich,MIL,489,100,161,29,3,44,97,30,2,80,118,.329,.429,.671,1.100,7.1
188,Christin Stewart,DET,328,32,81,23,1,10,39,0,1,33,92,.247,.322,.415,.736,0.4
23,Cody Bellinger,LAD,523,112,159,30,3,44,108,12,5,91,102,.304,.407,.625,1.033,8.2
75,Colin Moran,PIT,442,44,124,28,1,13,79,0,1,29,113,.281,.326,.437,.763,0.0
130,Corey Seager,LAD,453,74,119,39,0,16,75,1,0,42,92,.263,.328,.455,.783,3.3
261,Curtis Granderson,MIA,304,42,57,17,1,11,33,0,3,38,94,.188,.282,.359,.641,0.0
6,DJ LeMahieu,NYY,564,103,185,30,2,24,93,5,2,43,84,.328,.375,.516,.891,5.4
62,Daniel Murphy,COL,414,53,118,35,1,13,77,1,1,32,70,.285,.336,.469,.805,0.4
251,Daniel Vogelbach,SEA,440,72,94,17,0,30,76,0,0,90,139,.214,.348,.457,.805,1.6
256,Danny Jansen,TOR,330,38,68,12,1,12,42,0,0,30,74,.206,.279,.358,.637,1.0
58,Danny Santana,TEX,437,73,125,21,6,25,71,17,6,20,139,.286,.319,.533,.852,2.2
173,Dansby Swanson,ATL,442,71,111,24,3,17,63,8,5,47,109,.251,.327,.434,.761,1.4
127,David Bote,CHC,289,46,76,17,0,11,41,4,1,43,87,.263,.368,.436,.804,0.0
28,David Dahl,COL,374,67,113,28,5,15,61,4,4,28,110,.302,.353,.524,.877,0.4
53,David Fletcher,LAA,545,78,157,30,4,5,46,8,3,52,55,.288,.349,.385,.735,3.5
97,David Peralta,ARI,382,48,105,29,3,12,57,0,0,35,87,.275,.343,.461,.804,1.9
81,Dee Gordon,SEA,370,36,103,11,6,3,33,22,5,16,57,.278,.306,.365,.671,0.2
200,Delino DeShields,TEX,325,40,79,14,3,4,32,22,5,38,93,.243,.326,.342,.668,0.0
178,Dexter Fowler,STL,437,63,109,24,1,17,61,7,5,64,118,.249,.354,.426,.779,1.8
179,Didi Gregorius,NYY,289,45,72,12,2,16,56,1,1,16,46,.249,.289,.471,.760,0.9
154,Domingo Santana,SEA,441,63,113,20,1,21,69,8,3,49,159,.256,.332,.449,.781,0.6
214,Dwight Smith Jr.,BAL,336,43,80,16,3,12,50,5,1,24,74,.238,.292,.411,.702,0.0
96,Eddie Rosario,MIN,516,85,142,21,1,31,99,3,1,20,81,.275,.299,.500,.799,1.6
114,Eduardo Escobar,ARI,588,90,158,27,10,34,113,5,1,45,122,.269,.319,.522,.841,3.9
196,Edwin Encarnacion,NYY/SEA,418,81,102,18,0,34,86,0,1,58,103,.244,.344,.531,.875,2.7
 ,Elias Diaz,PIT,289,29,72,13,0,2,27,0,0,22,54,.249,.304,.315,.619,0.0
145,Eloy Jimenez,CHW,425,60,110,15,1,27,69,0,0,28,121,.259,.309,.489,.799,0.8
103,Elvis Andrus,TEX,558,73,152,26,4,10,67,28,7,31,88,.272,.311,.387,.698,0.0
205,Enrique Hernandez,LAD,387,52,93,18,1,17,60,4,0,34,90,.240,.309,.424,.732,1.6
85,Eric Hosmer,SD,573,70,159,27,2,20,94,0,3,40,141,.277,.326,.436,.762,0.3
49,Eric Sogard,TOR/TB,396,59,115,23,2,13,40,8,0,38,63,.290,.353,.457,.810,2.6
176,Eric Thames,MIL,356,58,89,21,2,21,56,3,2,48,129,.250,.352,.497,.849,1.3
107,Eugenio Suarez,CIN,536,85,145,21,2,47,100,3,2,59,174,.271,.350,.580,.930,3.9
149,Evan Longoria,SF,416,56,107,18,2,19,64,2,1,36,100,.257,.323,.447,.770,0.0
13,Fernando Tatis Jr.,SD,334,61,106,13,6,22,53,16,6,30,110,.317,.379,.590,.969,4.2
45,Francisco Lindor,CLE,551,93,161,37,2,31,70,21,4,42,86,.292,.343,.535,.878,4.8
195,Franmil Reyes,CLE/SD,463,62,113,17,0,34,74,0,0,45,149,.244,.307,.501,.808,-0.1
