RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
30,Clayton Kershaw,LAD,26,26,165.1,135,59,56,39,176,14,5,0,0,3.2,1.05,3.05
87,Cole Hamels,CHC,25,25,134.1,136,62,58,51,131,7,7,0,0,2.8,1.39,3.89
160,Collin McHugh,HOU,35,8,74.2,62,41,39,30,82,4,5,0,0,0.5,1.23,4.70
59,Craig Stammen,SD,71,0,77.0,77,36,30,15,68,8,7,4,9,0.5,1.19,3.51
48,Dakota Hudson,STL,30,29,159.2,150,75,60,75,123,15,7,1,0,1.8,1.41,3.38
46,Dallas Keuchel,ATL,16,16,96.2,94,38,36,32,81,8,5,0,0,2.4,1.30,3.35
21,Daniel Hudson,TOR/WSH,62,1,64.0,52,25,20,26,63,8,3,3,4,1.4,1.22,2.81
151,Daniel Norris,DET,30,27,138.1,149,74,71,38,119,3,12,0,0,2.4,1.35,4.62
144,Danny Duffy,KC,21,21,118.2,118,66,60,43,104,6,6,0,0,1.3,1.36,4.55
176,Dario Agrazal,PIT,13,12,62.1,70,37,34,17,30,4,4,0,0,0.5,1.40,4.91
234,David Hess,BAL,21,14,77.0,94,72,63,28,66,1,10,0,0,-1.2,1.58,7.36
122,David Price,BOS,22,22,107.1,109,57,51,32,128,7,5,0,0,1.8,1.31,4.28
187,Dereck Rodriguez,SF,24,15,92.0,95,64,52,33,62,5,9,0,0,-0.8,1.39,5.09
206,Derek Holland,CHC/SF,47,7,81.0,77,54,50,40,81,2,4,0,1,-0.6,1.44,5.56
55,Diego Castillo,TB,58,6,62.0,56,30,24,24,73,3,8,8,2,0.3,1.29,3.48
101,Dinelson Lamet,SD,12,12,62.0,53,33,28,25,81,2,5,0,0,0.3,1.26,4.06
 ,Domingo German,NYY,26,24,140.2,124,69,64,37,151,18,4,0,0,1.8,1.14,4.09
188,Drew Pomeranz,MIL/SF,40,18,97.0,103,57,55,44,124,2,10,1,0,0.2,1.52,5.10
225,Drew Smyly,TEX/PHI,23,19,105.2,116,77,73,52,110,4,6,1,0,-0.1,1.59,6.22
182,Dylan Bundy,BAL,28,28,149.2,153,92,83,51,148,6,14,0,0,1.9,1.36,4.99
223,Dylan Cease,CHW,13,13,67.0,73,50,46,33,73,3,7,0,0,-0.3,1.58,6.18
65,Eduardo Rodriguez,BOS,31,31,185.1,177,77,75,68,189,17,6,0,0,5.7,1.32,3.64
235,Edwin Jackson,DET/TOR,16,13,64.0,100,78,69,29,49,3,10,0,0,-2.4,2.02,9.70
184,Elieser Hernandez,MIA,21,15,82.1,76,49,46,26,85,3,5,0,0,0.4,1.24,5.03
5,Emilio Pagan,TB,60,0,63.2,38,16,15,13,88,4,2,20,7,2.4,0.80,2.12
149,Eric Lauer,SD,28,27,139.0,153,78,71,43,121,8,9,0,0,0.8,1.41,4.60
158,Erick Fedde,WSH,19,12,75.0,81,39,39,32,41,4,2,0,0,0.9,1.51,4.68
2,Felipe Vazquez,PIT,56,0,60.0,43,12,11,13,90,5,1,28,3,2.9,0.93,1.65
227,Felix Hernandez,SEA,13,13,61.1,72,50,43,19,51,1,6,0,0,-0.6,1.48,6.31
145,Felix Pena,LAA,22,7,96.1,80,56,49,34,101,8,3,0,0,1.0,1.18,4.58
209,Framber Valdez,HOU,25,8,70.2,73,48,44,42,68,4,7,0,0,-0.4,1.63,5.60
53,Francisco Liriano,PIT,65,0,66.0,57,30,25,32,61,4,3,0,3,1.0,1.35,3.41
 ,Frankie Montas,OAK,15,15,90.0,80,34,27,21,97,9,2,0,0,2.0,1.12,2.70
207,Freddy Peralta,MIL,35,8,80.2,85,55,50,36,106,6,3,1,1,-0.8,1.50,5.58
212,Gabriel Ynoa,BAL,34,11,100.1,116,72,64,24,61,1,8,0,0,-0.1,1.40,5.74
165,German Marquez,COL,28,28,174.0,174,96,92,35,175,12,5,0,0,3.7,1.20,4.76
14,Gerrit Cole,HOU,30,30,192.1,130,63,56,45,292,17,5,0,0,6.0,0.91,2.62
96,Gio Gonzalez,MIL,16,16,76.1,69,36,34,34,66,2,2,0,0,1.2,1.35,4.01
6,Giovanny Gallegos,STL,58,0,67.1,39,16,16,14,88,3,2,0,1,2.1,0.79,2.14
217,Glenn Sparkman,KC,28,20,122.2,146,85,81,35,72,4,11,0,0,-0.1,1.48,5.94
146,Griffin Canning,LAA,18,17,90.1,80,46,46,30,96,5,6,0,0,1.3,1.22,4.58
8,Hansel Robles,LAA,67,1,68.2,53,18,18,16,69,5,0,21,3,2.5,1.00,2.36
25,Hector Neris,PHI,64,0,64.1,44,23,21,22,84,3,6,26,6,1.7,1.03,2.94
164,Homer Bailey,KC/OAK,29,29,151.1,151,81,80,52,135,13,8,0,0,1.5,1.34,4.76
7,Hyun-Jin Ryu,LAD,27,27,168.2,149,50,44,24,148,12,5,0,0,4.5,1.03,2.35
172,Ivan Nova,CHW,31,31,176.0,214,104,95,43,106,10,12,0,0,2.0,1.46,4.86
