RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Chris Ellis,KC,1,0,1.0,1,0,0,1,0,0,0,0,0,0.0,2.00,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
 ,Cole Sulser,TB,5,0,5.2,3,0,0,2,7,0,0,0,0,0.2,0.88,0.00
